STATIONS_ID;MESS_DATUM;QN_3;FX;FM;QN_4;RSK;RSKF;SDK;SHK_TAG;NM;VPM;PM;TMK;UPM;TXK;TNK;TGK;eor
       4931;20181209;   10;  20.7;   6.9;    3;   8.7;   8;    0.000;   0;   7.4;   8.2;  960.68;    6.8;   82.42;    9.1;    5.6;    4.1;eor
       4931;20181210;   10;  15.4;   6.5;    3;   1.8;   8;    0.767;   0;   6.4;   6.4;  974.36;    3.9;   78.58;    6.0;    0.7;   -1.4;eor
       4931;20181211;   10;   8.7;   2.9;    3;   0.0;   8;    0.017;   0;   6.7;   5.8;  976.51;    1.8;   83.83;    3.9;   -0.9;   -4.5;eor
       4931;20181212;   10;   5.7;   1.5;    3;   0.0;   7;    0.000;   0;   7.3;   5.7;  975.41;    0.8;   88.25;    2.2;   -2.0;   -5.4;eor
       4931;20181213;   10;   8.7;   4.5;    3;   0.0;   7;    0.017;   0;   7.4;   4.8;  969.72;   -0.4;   81.17;    0.0;   -1.1;   -3.3;eor
       4931;20181214;   10;   7.2;   3.5;    3;   0.0;   0;    0.000;   0;   8.0;   4.1;  972.65;   -1.1;   73.13;   -0.4;   -1.8;   -2.2;eor
       4931;20181215;   10;   7.2;   2.4;    3;   1.5;   7;    0.000;   0;   6.9;   3.9;  975.91;   -1.9;   73.50;   -1.0;   -4.5;   -8.5;eor
       4931;20181216;   10;   5.1;   1.2;    3;   0.5;   8;    1.000;   2;   7.4;   5.6;  967.40;    0.2;   89.04;    4.0;   -3.9;   -4.7;eor
       4931;20181217;   10;   6.7;   1.6;    3;   0.0;   6;    1.500;   0;   6.8;   6.3;  975.40;    1.7;   90.29;    5.5;   -3.3;   -6.3;eor
       4931;20181218;   10;   5.1;   1.2;    3;   0.0;   0;    7.483;   0;   4.1;   6.0;  977.29;    1.8;   85.58;    6.6;   -2.9;   -7.4;eor
       4931;20181219;   10;   7.5;   1.4;    3;   0.7;   8;    0.000;   0;   7.8;   6.4;  970.06;    1.9;   89.67;    5.7;   -0.5;   -4.8;eor
       4931;20181220;   10;  11.1;   2.9;    3;   0.0;   6;    1.550;   0;   6.7;   7.2;  971.14;    5.7;   78.92;    7.9;    3.4;   -1.3;eor
       4931;20181221;   10;  15.4;   5.2;    3;   5.4;   6;    0.000;   0;   7.8;   8.9;  967.80;    8.5;   79.83;   11.2;    5.6;    3.0;eor
       4931;20181222;   10;  20.2;   4.4;    3;   7.2;   6;    0.450;   0;   7.4;   9.8;  971.38;    9.3;   83.79;   11.3;    7.4;    3.3;eor
       4931;20181223;   10;  10.1;   3.2;    3;  16.3;   6;    0.000;   0;   7.8;   9.7;  974.55;    8.4;   87.63;   11.2;    6.9;    4.8;eor
       4931;20181224;   10;  24.7;   5.0;    3;   1.1;   6;    0.500;   0;   6.6;   7.8;  979.48;    5.1;   86.83;   11.3;   -0.8;   -4.7;eor
